edad;sexo;actividad;descripcion_de_actividad;barrio;comuna;fecha;monto
32;hombre;comercio;ventas diversas;manrrique;3;21/9/2017;5000000
32;hombre;servicios;construcion;moravia;4;17/5/2017;5000000
33;hombre;comercio;ventas diversas;centro;10;18/7/2018;4500000
32;hombre;servicios;mantenimiento;belen;16;8/8/2017;6000000
33;hombre;servicios;mantenimiento;playa rica;60;8/6/2018;3500000
31;hombre;comercio;venta de alimentos;villa sofia pelicanos 3;7;17/2/2017;6000000
34;hombre;produccion;fabricacion de arepas;pedregal;6;17/5/2017;7300000
34;hombre;comercio;venta de comidas preparadas;pedregal;6;15/8/2018;1500000
34;hombre;comercio;venta de comidas preparadas;los colores;11;21/4/2018;5400000
32;hombre;comercio;comercio;golondrinas;8;10/11/2016;2000000
33;hombre;servicios;salud;manrique los balsos;3;25/1/2018;5000000
34;hombre;comercio;ventas diversas;pedregal;6;15/1/2019;5000000
32;hombre;comercio;comercio;robledo;7;21/9/2016;6000000
31;hombre;produccion;confecciones;robledo el diamante;7;30/1/2017;3500000
36;hombre;comercio;mantenimiento;belen las violetas;16;21/12/2018;7500000
35;hombre;servicios;ventas diversas;carlos e. restrepo;11;8/11/2018;5000000
33;hombre;produccion;produccion;la milagrosa;90;23/11/2016;6500000
32;hombre;servicios;servicios;carpinelo;1;22/1/2016;5000000
34;hombre;servicios;entretenimiento;carpinelo;1;23/11/2017;7300000
33;hombre;servicios;mantenimiento;los colores;11;6/10/2017;6000000
35;hombre;produccion;confecciones;san benito;10;29/5/2018;3000000
35;hombre;servicios;belleza y estetica;villa hermosa la mision;8;12/7/2018;4000000
33;hombre;produccion;produccion;buenos aires;9;12/9/2016;6890000
35;hombre;comercio;venta de comidas preparadas;buenos aires;9;16/8/2018;1.72E+07
37;hombre;comercio;venta de comidas preparadas;buenos aires;9;21/11/2017;6500000
33;hombre;comercio;comercio;manrique- cancha el raizal;4;17/6/2016;5000000
34;hombre;produccion;confecciones;bombona # 2 sector vergel;9;20/4/2018;3000000
34;hombre;comercio;ventas diversas;sagrado corazon de jesus;10;11/7/2018;5000000
35;hombre;servicios;pinturas full calor's;roblodo miramar;;20/3/2019;7500000
34;hombre;servicios;mantenimiento;la milagrosa;9;17/4/2018;6000000
57;hombre;comercio;tiendas - venta de alimentos;robledo villa capiña;7;27/9/2018;4400000
39;hombre;comercio;tiendas - venta de alimentos;santa cruz la rosa;2;23/8/2018;2000000
38;hombre;comercio;comercio;robledo;7;22/3/2016;5000000
32;hombre;produccion;produccion;centro;4;11/5/2016;6890000
37;hombre;comercio;ventas diversas;la salle;3;21/11/2017;5000000
32;mujer;comercio;comercio;enciso el pinal;8;22/3/2016;6000000
35;mujer;comercio;insumos desechables.;enciso el pinal;;23/4/2019;6000000
34;hombre;comercio;ventas diversas;robledo;7;19/5/2017;7377170
34;hombre;comercio;panaderia;picacho;6;26/2/2018;5000000
35;hombre;servicios;mantenimiento;popular 2;1;23/10/2018;6000000
35;hombre;comercio;ventas diversas;manrique versallez;3;15/1/2019;7800000
32;hombre;servicios;servicios;la esperanza;6;22/3/2016;6890000
33;hombre;produccion;produccion;cataluña;9;15/12/2016;6500000
34;hombre;servicios;belleza y estetica;buenos aires;9;19/12/2017;5000000
34;hombre;comercio;ventas diversas;el salvador;9;29/8/2018;1.50E+07
34;hombre;comercio;ventas diversas;la milagrosa;9;13/7/2018;2300000
33;hombre;comercio;ventas diversas;san cristobal;60;6/6/2017;7000000
45;hombre;comercio;ventas diversas;trinidad;15;11/7/2017;5000000
35;hombre;produccion;confecciones;manrique oriental;3;12/7/2018;4600000
32;hombre;comercio;comercio;santo domingo savio;1;22/1/2016;6443500
33;hombre;comercio;venta de comidas preparadas;picacho;6;18/4/2017;6000000
33;hombre;comercio;ventas diversas;centro comercial medellin;10;13/2/2017;7377000
34;hombre;comercio;ventas diversas;barrios unidos;3;12/9/2018;3500000
61;hombre;produccion;confecciones;belalcazar;5;25/1/2018;5000000
43;hombre;comercio;venta de comidas preparadas;centro;10;18/8/2017;2000000
36;hombre;comercio;comercio;avenida ferrocarril;10;22/1/2016;6400000
35;hombre;comercio;ventas diversas;centro comercial opera;10;16/8/2018;3000000
34;hombre;comercio;comercio;centro;10;22/3/2016;4000000
;hombre;comercio;ventas diversas;centro;10;27/3/2017;5000000
35;hombre;servicios;alquileres;polpular;1;7/9/2018;7800000
32;hombre;produccion;porcicultura y/o avicultura;san antonio de prado;80;6/6/2017;5000000
48;hombre;produccion;porcicultura y/o avicultura;san cristobal;60;11/7/2017;4000000
33;hombre;produccion;agricultura - ganaderia;san cristobal;60;26/1/2018;1.40E+07
31;hombre;servicios;servicios;san cristobal;60;14/6/2016;3000000
33;hombre;comercio;fotografia;robledo la huerta;7;28/11/2018;6000000
49;hombre;servicios;mantenimiento;francisco antonio zea;5;20/11/2017;6000000
